| Screen Name                                         | User Role              | Modules Combined                                                                             | Description / Key Components                                                                                                                                                                                                                                 |
| --------------------------------------------------- | ---------------------- | -------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| **1. Login & Role Access**                    | L&D, Employee, Manager | Authentication                                                                               | Secure login with email/SSO, role-based redirection, forgot password, company branding.                                                                                                                                                                      |
| **2. Unified Dashboard**                      | L&D, Employee, Manager | Overview, Notifications, Progress Tracking                                                   | A common home screen with different views by role. L&D sees pending analyses, approvals, generation jobs, and alerts. Employees see assigned courses, progress, exams, and next actions. Managers see team progress, weak skill areas, and overdue learners. |
| **3. Workforce Analysis & Training Planning** | L&D                    | Employee Data Upload, Skill Gap Analysis, Training Needs Identifier, Recommendation Approval | Upload employee data, assessment scores, performance reviews, and manager feedback. System analyzes org/team/employee skill gaps, suggests training plans, and allows L&D to approve, edit, or reject recommendations.                                       |
| **4. Course Builder & Generation**            | L&D                    | AI Course Generator, Learning Objectives, Quiz Generator, Content Review, SCORM Export       | Upload PDFs, PPTs, transcripts, and internal docs. Configure audience level and course depth. AI generates modules, objectives, quizzes, and lesson flow. L&D can review, edit, regenerate, approve, and export/publish courses.                             |
| **5. Assignment & Learning Control**          | L&D, Manager           | Course Assignment, Learner Monitoring, Alerts, Intervention Triggers                         | Assign courses by employee, role, department, or team. Set deadlines and priority. Monitor learner status, identify struggling employees, and view alerts when adaptive intervention may be needed.                                                          |
| **6. Learning Experience**                    | Employee               | Assigned Course View, Course Player, Adaptive Learning Path, Progress Tracking               | Main learning screen for employees. Shows current lessons, learning materials, quizzes, progress bar, and AI-driven path changes such as remedial modules or advanced content based on performance.                                                          |
| **7. Assessment & Question Bank**             | L&D, Employee          | Exam Question Bank Generator, Exam Creation, Exam Attempt, Results                           | L&D can generate Bloom’s Taxonomy-based questions with difficulty tags and answer keys, review question banks, and create exams. Employees can attempt quizzes/exams and see results with weak-topic feedback.                                              |
| **8. Analytics & Intervention**               | L&D, Manager           | Reporting, Training Effectiveness, Exam Analytics, Adaptive Insights                         | View completion rates, exam performance, skill improvement, adaptive learning interventions, team weak areas, and recommended next actions for retraining or support.                                                                                        |
| **9. Language Learning / Speaking Coach**     | Employee, L&D optional | Pronunciation Coach, Speaking Practice, Speech Feedback, Language Progress                   | Separate module for communication training. Includes speaking prompts, live transcript, pronunciation analysis, fluency feedback, error correction, and speaking improvement trends.                                                                         |
| **10. Notification & Agent Activity Center**  | L&D, Employee, Manager | Workflow Updates, Status Tracking                                                            | Tracks all major system events like skill-gap analysis completed, approval requested, course generation finished, assignment done, adaptive change triggered, exam completed, and learner-at-risk alerts.                                                    |
| **11. Profile & Settings**                    | All Roles              | Preferences, Learning Settings, Account Management                                           | Manage profile details, notification settings, language preferences, and role-specific personalization options.                                                                                                                                              |
